id,date,sentence,growth_sentiment_final,employment_sentiment_final,inflation_sentiment_final
12643,2008-05-21,"Against this backdrop, term spreads in interbank funding markets and spreads on commercial paper issued by financial institutions widened significantly.",negative,neutral,neutral
12644,2008-10-07,"Tight credit conditions, the ongoing housing contraction, and elevated energy prices were likely to weigh on economic growth over the next few quarters.",negative,neutral,neutral
12645,2008-10-07,"With credit conditions generally tight and economic prospects relatively uncertain, investment spending was likely to be on the soft side going forward.",negative,neutral,neutral
12646,2008-11-19,"Industrial production fell in September, although much of the drop was related to effects of recent hurricanes and a strike at an aircraft manufacturer.",negative,neutral,neutral
12647,2008-11-19,"Subsequently, however, market expectations reversed in response to the heightened financial turmoil and to generally weaker-than-expected economic data.",negative,neutral,neutral
12648,2008-11-19,"In the forecast prepared for the meeting, the staff lowered its projection for economic activity in the second half of 2008 as well as in 2009 and 2010.",negative,neutral,neutral
12649,2009-01-06,"It was likely that, during the period of financial turmoil, the size of the Federal Reserve's balance sheet would need to be maintained at a high level.",negative,neutral,neutral
12650,2009-02-18,"Yields and spreads on corporate bonds decreased noticeably, particularly for speculative-grade firms, but spreads remained high by historical standards.",negative,neutral,neutral
12651,2009-02-18,Debt of the domestic nonfinancial sectors expanded at a somewhat faster pace in the fourth quarter of 2008 than in the first three quarters of the year.,positive,neutral,neutral
12652,2009-04-08,"However, other participants anticipated that TALF loans would increase over time as financial market institutions became more familiar with the program.",positive,neutral,neutral
12653,2009-04-08,Spreads of yields on both BBB-rated and speculative-grade bonds relative to those on comparable-maturity Treasury securities were little changed on net.,neutral,neutral,neutral
12656,2009-11-24,"Although single-family starts were about flat in September, the number of starts was well above the record low reached in the first quarter of the year.",positive,neutral,neutral
12657,2009-11-24,Spreads on A2/P2-rated commercial paper (CP) and AA-rated asset-backed CP remained at the lower ends of their respective ranges over the past two years.,positive,neutral,neutral
12658,2010-02-17,"Commercial construction continued to trend down, primarily reflecting weak fundamentals, though financing constraints probably were also playing a role.",negative,neutral,neutral
12659,2010-05-19,The staff discussed the potential portfolio paths and macroeconomic consequences of a number of different strategies for accomplishing these objectives.,neutral,neutral,neutral
12660,2010-07-14,The Manager noted that a coupon swap is a common transaction in the market for MBS in which the two counterparties exchange securities at market prices.,neutral,neutral,neutral
12661,2010-07-14,"Even so, spreads of high-grade unsecured financial commercial paper to nonfinancial commercial paper widened only modestly over the intermeeting period.",neutral,neutral,neutral
12662,2010-07-14,"In addition, they saw inflation as likely to stabilize near recent low readings in coming quarters and then gradually rise toward more desirable levels.",neutral,neutral,positive
12663,2010-08-31,"Real business spending on equipment and software rose strongly again in the second quarter, with increases widespread across the categories of spending.",positive,neutral,neutral
12664,2010-08-31,"Standards for commercial real estate loans and residential mortgages remained very tight, and banks did not appear to be easing standards on such loans.",negative,neutral,neutral
12665,2010-10-12,"Participants agreed that factors like these were pushing the unemployment rate up, but they differed in their assessments of the extent of such effects.",neutral,negative,neutral
12666,2011-04-05,"In February, nominal retail sales, excluding purchases of motor vehicles and parts, rose moderately; sales of light motor vehicles posted a robust gain.",positive,neutral,neutral
12667,2011-05-18,"Activity in the housing market remained very weak, as the large overhang of foreclosed and distressed properties continued to restrain new construction.",negative,neutral,neutral
12668,2011-05-18,This outlook was based partly on a projected leveling-off of commodity prices and the belief that longer-run inflation expectations would remain stable.,neutral,neutral,positive
12669,2011-07-12,"Real nonfarm inventory investment rose moderately in the first quarter, but data for April suggested that the pace of inventory accumulation had slowed.",neutral,neutral,neutral
12670,2011-08-30,"By unanimous vote, the Committee ratified the transactions by the Open Market Desk of the Federal Reserve Bank of New York over the intermeeting period.",neutral,neutral,neutral
12671,2011-08-30,Some policymakers noted that their outlooks for economic activity were shaped in part by an expectation of fiscal restraint at all levels of government.,neutral,neutral,neutral
12672,2011-11-22,"Although starts and permits for new single-family homes edged up in September, they stayed near the depressed levels seen since the middle of last year.",negative,neutral,neutral
12673,2011-11-22,"However, participants indicated that many details of the new plan had not yet been worked out and that a number of important issues remained unresolved.",neutral,neutral,neutral
12674,2012-02-15,Starts and permits for new single-family homes rose in November and December but remained only a little above the depressed levels seen earlier in 2011.,negative,neutral,neutral
12675,2012-02-15,Data on credit card solicitations and from responses to the January SLOOS suggested that lending standards on consumer loans continued to ease modestly.,positive,neutral,neutral
12676,2012-02-15,Participants noted that the ECB's three-year refinancing operation had apparently contributed to improved conditions in European sovereign debt markets.,positive,neutral,neutral
12677,2012-04-03,"Inventories in most industries looked to be reasonably well aligned with sales in recent months, although stocks of motor vehicles continued to be lean.",neutral,neutral,neutral
12678,2012-04-03,"Dollar funding pressures continued to diminish, and the implied cost of dollar funding through the foreign exchange swap market fell moderately further.",neutral,neutral,neutral
12679,2012-05-16,"Contacts in some parts of the country said that highly qualified workers were in short supply; overall, however, wage pressures had been limited so far.",neutral,positive,neutral
12680,2012-07-11,"Yields on most euro-area peripheral countries' sovereign debt rose, particularly after the May 6 elections in Greece failed to produce a new government.",negative,neutral,neutral
12681,2013-01-03,"Reserves increased over the intermeeting period, in part because of the settlement of the ongoing MBS purchases announced at the September FOMC meeting.",neutral,neutral,neutral
12682,2013-01-03,"Most participants saw the risks to the inflation outlook as broadly balanced, and many noted that longer-term inflation expectations were well anchored.",neutral,neutral,positive
12683,2013-01-03,"Household spending had continued to advance and the housing sector had shown further signs of improvement, but growth in the business sector had slowed.",positive,neutral,neutral
12684,2013-04-10,Such a dynamic was seen as potentially leading to a virtuous cycle that could help support household spending and financial market conditions over time.,positive,neutral,neutral
12685,2013-05-22,"Yields on corporate bonds fell roughly in line with those on Treasury securities of comparable maturity, generally leaving their spreads little changed.",neutral,neutral,neutral
12686,2013-10-09,"Total consumer price inflation picked up in recent months but continued to be modest, and measures of longer-run inflation expectations remained stable.",neutral,neutral,positive
12687,2013-11-20,"Furthermore, a secular decline in labor market dynamism, or turnover, might have contributed to a reduction in the size of normal monthly payroll gains.",neutral,negative,neutral
12688,2013-11-20,"Nevertheless, a number of participants noted that such operations were worthy of further study or saw them as potentially helpful in some circumstances.",neutral,neutral,neutral
12689,2013-11-20,"Members generally continued to see the downside risks to the outlook for the economy and the labor market as having diminished, on net, since last fall.",positive,neutral,neutral
12690,2014-01-08,"The pace of activity in the housing sector appeared to continue to slow somewhat, likely reflecting the higher level of mortgage rates since the spring.",negative,neutral,neutral
12691,2014-01-08,"The staff did not see the uncertainty around its outlook for inflation as unusually high, and the risks to that outlook were viewed as broadly balanced.",neutral,neutral,neutral
12692,2014-02-19,"These documents were modified to incorporate the dollar and foreign currency liquidity swap arrangements authorized by a resolution on October 29, 2013.",neutral,neutral,neutral
12693,2014-02-19,"Total payroll employment increased in December, but at a slower pace than in previous months, and the unemployment rate declined but was still elevated.",neutral,negative,neutral
12694,2014-04-09,"Consumer price inflation continued to run below the Committee's longer-run objective, but measures of longer-run inflation expectations remained stable.",neutral,neutral,positive
12695,2014-05-21,"Consumer price inflation continued to run below the Committee's longer-run objective, but measures of longer-run inflation expectations remained stable.",neutral,neutral,positive
12696,2014-08-20,Participants requested additional analysis from the staff on issues related to normalization as background for further discussion at their next meeting.,neutral,neutral,neutral
12697,2014-08-20,"Intermeeting data releases on euro-area industrial production came in below market expectations, also weighing on headline equity markets in the region.",negative,neutral,neutral
12698,2014-10-08,Both the share of workers employed part time for economic reasons and the rate of long-duration unemployment declined a little over the past two months.,neutral,positive,neutral
12699,2015-02-18,"The decrease in the value of imports stemmed in large part from a reduction in the value of petroleum imports, reflecting both lower prices and volumes.",negative,neutral,positive
12700,2015-08-19,Participants discussed how recent developments influenced their expectations for reaching the FOMC's 2 percent inflation objective over the medium term.,neutral,neutral,neutral
12701,2015-10-08,"Delinquency rates on credit card loans and auto loans stayed low through the second quarter, while delinquency rates on student loans remained elevated.",neutral,neutral,neutral
12702,2015-11-18,"Several participants, however, cited downside risks to inflation, pointing, for example, to declines in market-based measures of inflation compensation.",neutral,neutral,negative
12703,2015-11-18,They indicated that they would be assessing a range of labor market indicators over the period ahead to confirm further improvement in the labor market.,neutral,positive,neutral
12704,2016-01-06,The deputy manager also discussed plans to publish additional information on details of the Committee's current Treasury securities reinvestment policy.,neutral,neutral,neutral
12705,2016-01-06,"The share of workers employed part time for economic reasons was flat, on balance, in recent months after declining considerably over the previous year.",neutral,neutral,neutral
12706,2016-01-06,"The October FOMC statement and the stronger-than-expected October employment report, in particular, boosted expectations of FOMC action at this meeting.",neutral,positive,neutral
12707,2016-04-06,"Early in the intermeeting period, concerns among investors about the global economic outlook appeared to trigger a sharp reduction in their risk-taking.",negative,neutral,neutral
12708,2016-04-06,This accommodative stance of monetary policy was expected to support further improvement in labor market conditions and a return to 2 percent inflation.,neutral,positive,positive
12709,2016-07-06,Participants generally agreed that the Committee should continue to closely monitor inflation indicators and global economic and financial developments.,neutral,neutral,neutral
12710,2016-07-06,"However, some areas that were affected by the slowdown in the energy sector experienced house price declines or increases in mortgage delinquency rates.",negative,neutral,neutral
12711,2016-08-17,Participants generally agreed that the Committee should continue to closely monitor inflation indicators and global economic and financial developments.,neutral,neutral,neutral
12712,2016-10-12,"The Subcommittee, in consultation with the Committee, may provide additional instructions to the Selected Bank regarding holdings of foreign currencies.",neutral,neutral,neutral
12713,2017-01-04,"Inflation in the EMEs also moved up, driven largely by a rebound in Chinese food prices and, in some countries, by the effects of currency depreciation.",neutral,neutral,negative
12714,2017-02-22,"The Subcommittee, in consultation with the Committee, may provide additional instructions to the Selected Bank regarding holdings of foreign currencies.",neutral,neutral,neutral
12715,2017-02-22,Participants generally agreed that the Committee should continue to closely monitor inflation indicators and global economic and financial developments.,neutral,neutral,neutral
12716,2017-07-05,The rise in CMBS delinquency rates was mostly confined to loans that were originated during the period of weak underwriting before the financial crisis.,negative,neutral,neutral
12717,2017-07-05,"Inflation was still expected to be somewhat higher this year than last year, largely reflecting an upturn in the prices for food and non-energy imports.",neutral,neutral,negative
12718,2017-07-05,Market-based measures of inflation compensation remained low; survey-based measures of longer-term inflation expectations had changed little on balance.,neutral,neutral,positive
12719,2017-08-16,The median of inflation expectations over the next 5 to 10 years from the Michigan survey edged up both in June and in the preliminary reading for July.,neutral,neutral,neutral
12720,2017-10-11,"However, payrolls for state and local governments declined in July and August, and nominal construction spending by these governments decreased in July.",negative,negative,neutral
12721,2017-10-11,The Canadian dollar appreciated following a rate hike by the Bank of Canada at its September meeting that came sooner than market participants expected.,neutral,neutral,neutral
12722,2017-10-11,It was also noted that the persistence of low inflation might result in the federal funds rate staying uncomfortably close to its effective lower bound.,neutral,neutral,negative
12723,2017-10-11,"On balance, participants continued to forecast that PCE price inflation would stabilize around the Committee's 2 percent objective over the medium term.",neutral,neutral,positive
12724,2017-11-22,"Total PCE price inflation was projected to pick up in 2018, as most of the softness in core PCE price inflation this year was expected to be transitory.",neutral,neutral,neutral
12725,2018-01-03,Many indicated that they expected cyclical pressures associated with a tightening labor market to show through to higher inflation over the medium term.,neutral,positive,negative
12726,2018-02-21,"The Subcommittee, in consultation with the Committee, may provide additional instructions to the Selected Bank regarding holdings of foreign currencies.",neutral,neutral,neutral
12727,2018-08-22,Business contacts in a few Districts reported that uncertainty regarding trade policy had led to some reductions or delays in their investment spending.,negative,neutral,neutral
12728,2018-11-29,"Some also expressed interest in studying, over the longer term, approaches in which the Committee would target a mixture of secured and unsecured rates.",neutral,neutral,neutral
12729,2018-11-29,"Option-implied volatility on the S&P 500 index at the one-month horizon--the VIX--increased, though it remained below the levels seen in early February.",neutral,neutral,neutral
12730,2019-01-09,Conditions in the consumer asset-backed securities market remained stable over the intermeeting period with slightly higher spreads and robust issuance.,positive,neutral,neutral
12731,2019-01-09,"A few participants expressed concern that longer-run inflation expectations would remain low, particularly if economic growth slowed more than expected.",neutral,neutral,negative
12732,2019-01-09,"In general, participants agreed that risks to the outlook appeared roughly balanced, although some noted that downside risks may have increased of late.",negative,neutral,neutral
12733,2019-02-20,"The Subcommittee, in consultation with the Committee, may provide additional instructions to the Selected Bank regarding holdings of foreign currencies.",neutral,neutral,neutral
12734,2019-02-20,Such an announcement would provide more certainty about the process for completing the normalization of the size of the Federal Reserve's balance sheet.,neutral,neutral,neutral
12735,2019-07-10,Market participants reported seeing slightly more pass-through from repo rates to the federal funds rate on days with heightened firmness in repo rates.,neutral,neutral,neutral
12736,2019-08-21,"Manufacturing production had declined so far this year, dragged down in part by weak real exports, the ongoing global slowdown, and trade uncertainties.",negative,neutral,neutral
12737,2020-01-03,"All told, the data on construction and sales continued to suggest that the decline in mortgage rates since late 2018 has been boosting housing activity.",positive,neutral,neutral
12738,2020-01-03,"Imports fell much more, and the declines were broad based, with the largest contributions coming from imports of consumer goods and automotive products.",negative,neutral,neutral
12739,2020-01-03,"Various participants remarked on issues related to the implementation of monetary policy, highlighting topics for further discussion at future meetings.",neutral,neutral,neutral
12740,2020-02-19,"The Subcommittee, in consultation with the Committee, may provide additional instructions to the Selected Bank regarding holdings of foreign currencies.",neutral,neutral,neutral
12741,2020-02-19,Issuance of speculative-grade bonds over the intermeeting period remained about in line with the average pace over December and January in recent years.,neutral,neutral,neutral
12742,2020-04-08,"The U.S. dollar appreciated notably against most currencies, with the exception of other safe-haven currencies, and crude oil prices dropped 40 percent.",neutral,neutral,positive
12743,2020-04-08,"Total nonfarm payroll employment expanded strongly in January and February, and the unemployment rate was at its 50-year low of 3.5 percent in February.",neutral,positive,neutral
12744,2020-04-08,"Participants expressed their deep concern for those whose health had been harmed and observed that the matter was, above all, a public health emergency.",neutral,neutral,neutral
12745,2020-05-20,"Broad stock price index increases over the intermeeting period were led by the energy, consumer discretionary, basic materials, and health-care sectors.",positive,neutral,neutral
12746,2020-07-01,"Labor market conditions improved in May, but these improvements were modest relative to the substantial deterioration seen over the previous two months.",neutral,negative,neutral
12747,2020-10-07,"The consumer price index (CPI) increased 1.3 percent over the 12 months ending in August, while core CPI inflation was 1.7 percent over the same period.",neutral,neutral,positive
12748,2020-10-07,"State and local government payrolls expanded in July and August, although nominal state and local construction expenditures decreased in June and July.",negative,positive,neutral
12749,2020-10-07,Some contacts reported difficulties in managing disruptions in supply chains as well as elevated levels of employee absenteeism because of the pandemic.,negative,negative,neutral
12750,2020-10-07,"Nevertheless, inflation remained subdued, and participants still generally judged that the overall effect of the pandemic on prices was disinflationary.",neutral,neutral,positive
12751,2020-11-25,Spreads on commercial paper (CP) and negotiable certificates of deposit across different tenors were little changed and remained at pre-pandemic levels.,neutral,neutral,neutral
12752,2021-02-17,"The Subcommittee, in consultation with the Committee, may provide additional instructions to the Selected Bank regarding holdings of foreign currencies.",neutral,neutral,neutral
12753,2021-02-17,They saw progress on vaccinations as essential for supporting further gains in aggregate consumer spending and for the economic recovery more generally.,neutral,neutral,neutral
12754,2021-02-17,Conduct repurchase agreement operations to support effective policy implementation and the smooth functioning of short-term U.S. dollar funding markets.,neutral,neutral,neutral
12755,2021-04-07,"These measures are likely to have been less affected by changes in workforce composition, and they were rising more slowly than their pre-pandemic pace.",neutral,neutral,neutral
12756,2021-04-07,Staff Economic OutlookThe U.S. economic projection prepared by the staff for the March FOMC meeting was considerably stronger than the January forecast.,positive,neutral,neutral
12757,2021-04-07,"In addition, inflation was forecast to be temporarily boosted this year by the expected emergence of some production bottlenecks and supply constraints.",neutral,neutral,negative
12761,2021-07-07,"The staff's near-term outlook for inflation was revised up markedly, but the staff continued to expect the rise in inflation this year to be transitory.",neutral,neutral,negative
12763,2021-08-18,"The monthly pace of job gains had picked up, with employment expanding 850,000 in June and with notable increases in the leisure and hospitality sector.",neutral,positive,neutral
12764,2021-10-13,"Although real PCE declined in July, the components of retail sales used to estimate PCE rose strongly in August, returning to levels seen in the spring.",positive,neutral,neutral
12765,2021-10-13,"On balance, major foreign equity indexes were mixed, the broad dollar appreciated a touch, and sovereign yields in most major AFEs increased moderately.",neutral,neutral,neutral
12766,2021-10-13,"As a result, the 12-month change in PCE prices was projected to hold roughly steady over the remainder of 2021 and to end the year well above 2 percent.",neutral,neutral,negative
12767,2021-10-13,Various participants stressed that economic conditions were likely to justify keeping the rate at or near its lower bound over the next couple of years.,neutral,neutral,positive
12768,2021-11-24,"Issuance of commercial mortgage-backed securities (CMBS) remained robust, supported by spreads of agency CMBS generally at or below pre-pandemic levels.",positive,neutral,neutral
12769,2022-01-05,Many participants judged that the appropriate pace of balance sheet runoff would likely be faster than it was during the previous normalization episode.,neutral,neutral,neutral
12770,2022-02-16,"The Subcommittee, in consultation with the Committee, may provide additional instructions to the Selected Bank regarding holdings of foreign currencies.",neutral,neutral,neutral
12771,2022-05-25,They further anticipated that ongoing increases in the target range for the federal funds rate would be warranted to achieve the Committee's objectives.,neutral,neutral,neutral
12772,2022-05-25,They also noted that a restrictive stance of policy may well become appropriate depending on the evolving economic outlook and the risks to the outlook.,neutral,neutral,neutral
12773,2022-05-25,Members agreed that the invasion and related events were creating additional upward pressure on inflation and were likely to weigh on economic activity.,negative,neutral,negative
12774,2022-07-06,Participants noted that the imbalance between supply and demand across a wide range of product markets was contributing to upward pressure on inflation.,neutral,neutral,negative
12775,2022-07-06,Members agreed that the invasion and related events were creating additional upward pressure on inflation and were weighing on global economic activity.,negative,neutral,negative
12776,2022-08-17,Participants judged that the war and related events were creating additional upward pressure on inflation and were weighing on global economic activity.,negative,neutral,negative
12778,2022-08-17,"Inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures.",neutral,neutral,negative
12779,2022-10-12,Participants judged that the war and related events were creating additional upward pressure on inflation and were weighing on global economic activity.,negative,neutral,negative
12780,2022-10-12,"Inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures.",neutral,neutral,negative
12781,2022-11-23,"Inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures.",neutral,neutral,negative
12782,2023-01-04,They would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.,neutral,neutral,neutral
12783,2023-01-04,"Inflation remains elevated, reflecting supply and demand imbalances related to the pandemic, higher food and energy prices, and broader price pressures.",negative,neutral,negative
12785,2023-02-22,"While real GDP growth had rebounded in the second half of 2022, several participants noted that growth in PDFP had nearly stalled in the fourth quarter.",neutral,neutral,neutral
12786,2023-02-22,They would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.,neutral,neutral,neutral
12787,2006-02-21,"Business investment in real nonfarm inventories increased moderately in the fourth quarter, boosted by a rapid accumulation of motor vehicle inventories.",positive,neutral,neutral
12788,2006-02-21,"At its December meeting, the Federal Open Market Committee decided to increase the target level of the federal funds rate 25 basis points, to 4 percent.",neutral,neutral,neutral
12789,2006-04-18,"However, members also recognized that in current circumstances, checking upside risks to inflation was important to sustaining good economic performance.",neutral,neutral,negative
12790,2006-05-31,"Also by unanimous vote, the Committee established a FOIA Requester Service Center and designated Carol R. Low to fulfill the associated responsibilities.",neutral,neutral,neutral
12791,2006-05-31,"Sales of new homes also moved up in March, but their average in the first quarter was down substantially from the peak in the third quarter of last year.",positive,neutral,neutral
12792,2006-10-11,"Also, the considerably lower level of energy prices of recent weeks, if sustained, would help reduce overall inflation and damp increases in core prices.",neutral,neutral,positive
12793,2006-11-15,Participants continued to expect the economy to expand at a rate close to or a little below the economy's long-run sustainable pace over coming quarters.,positive,neutral,neutral
12794,2007-10-09,"The access of investment-grade corporate borrowers to credit so far remained unimpeded, and rates on investment-grade bonds had declined in recent weeks.",positive,neutral,neutral
12795,2007-11-20,"Two-year Treasury yields declined roughly in line with the lower expected policy path, while yields on ten-year Treasuries were little changed, on net.  ",neutral,neutral,neutral
12796,2008-02-20,"New home sales dropped in November and December after having held relatively steady since August, keeping inventories of unsold homes at elevated levels.",negative,neutral,neutral
12797,2008-02-20,"On balance, expectations seemed to remain fairly well anchored, but participants agreed that continued stability of inflation expectations was essential.",neutral,neutral,neutral
12798,2008-04-08,"Although employment by firms in the nonbusiness services sector and in state and local governments continued to rise, declines elsewhere were widespread.",neutral,neutral,neutral
12799,2008-05-21,"Recent readings on core inflation had improved somewhat, although participants noted that some of that improvement probably reflected transitory factors.",neutral,neutral,positive
12800,2008-07-16,"Real spending on nonresidential construction continued to rise in the first quarter, but at a substantially slower rate than over the previous two years.",neutral,neutral,neutral
12801,2008-08-26,"Core consumer price inflation remained relatively stable, while headline inflation was elevated as a result of large increases in food and energy prices.",neutral,neutral,negative
12802,2008-10-07,"The U.S. international trade deficit widened in July, as a surge in the value of imports of goods and services more than offset strong growth in exports.",positive,neutral,neutral
12803,2008-11-19,The payment of interest on excess reserve balances was intended to assist in maintaining the federal funds rate close to the target set by the Committee.,neutral,neutral,neutral
12804,2009-01-06,"In the euro area and the United Kingdom, purchasing managers indexes fell in November to levels associated with severe contractions in economic activity.",negative,neutral,neutral
12805,2009-02-18,"Industrial production, trade, and measures of consumer sentiment registered declines across many other countries in both emerging Asia and Latin America.",negative,neutral,neutral
12806,2009-02-18,"Over the intermeeting period, investors marked down their expectations for the path of the federal funds rate, as measured by money market futures rates.",neutral,neutral,neutral
12807,2009-07-15,"Consumer price inflation was fairly quiescent in recent months, although the upturn in energy prices appeared likely to boost headline inflation in June.",neutral,neutral,neutral
12808,2009-09-02,Businesses are still cutting back on fixed investment and staffing but are making progress in bringing inventory stocks into better alignment with sales.,negative,negative,neutral
12809,2009-11-24,"Household spending appears to be expanding but remains constrained by ongoing job losses, sluggish income growth, lower housing wealth, and tight credit.",positive,negative,neutral
12810,2010-02-17,"The labor force participation rate, however, had declined steeply since the spring, likely reflecting, at least in part, adverse labor market conditions.",neutral,negative,neutral
12811,2010-05-19,Some participants saw advantages to varying the FOMC's holdings of longer-term assets system-atically in response to economic and financial developments.,neutral,neutral,neutral
12812,2010-05-19,"Increased exports of industrial supplies, capital goods, and automotive products were partly offset by declines in agricultural goods and consumer goods.",positive,neutral,neutral
12813,2010-10-12,The Manager also discussed plans to publish a new set of criteria that would allow a broader set of money market funds to become eligible counterparties.,neutral,neutral,neutral
12815,2011-02-16,"On the upside, the recent strength in household spending raised the possibility that domestic final demand could snap back more rapidly than anticipated.",positive,neutral,neutral
12816,2011-04-05,"In the euro area, monthly indicators of activity, such as retail sales and purchasing managers indexes, were generally positivee in January and February.",positive,neutral,neutral
12817,2011-04-05,"In contrast to headline inflation, core inflation and other measures of underlying inflation remained subdued, though they appeared to have bottomed out.",neutral,neutral,negative
12818,2011-04-05,"Similarly, measures of underlying inflation continued to be somewhat low relative to levels seen as consistent with the dual mandate over the longer run.",neutral,neutral,negative
12819,2011-07-12,The Committee will monitor the economic outlook and financial developments and will act as needed to best foster maximum employment and price stability.,neutral,neutral,neutral
12820,2011-08-30,"Motor vehicle purchases declined during the spring when the availability of some models was limited, but rebounded somewhat in July as supplies improved.",negative,neutral,neutral
12821,2011-10-12,"However, some strains emerged late in the intermeeting period in the market for repurchase agreements backed by lower-quality, nontraditional collateral.",negative,neutral,neutral
12822,2012-02-15,The revisions reflected discussion of an earlier draft during the Committee's December meeting as well as comments received over the intermeeting period.,neutral,neutral,neutral
12823,2012-04-03,Recent indicators suggested some improvement in foreign economic activity early this year after a significant slowing in the fourth quarter of last year.,positive,neutral,neutral
12824,2012-07-11,Several members noted that the downward pressure on longer-term rates from continuing the Committee's maturity extension program was likely to be modest.,neutral,neutral,neutral
12825,2012-10-04,"Manufacturing production increased at a faster pace in July than in the second quarter, and the rate of manufacturing capacity utilization rose slightly.",positive,neutral,neutral
12826,2012-11-14,"Across export categories, exports of industrial supplies posted a particularly large decline, as the volume of petroleum product exports dropped sharply.",negative,neutral,neutral
12827,2012-11-14,"Option-implied volatility for the S&P 500 index fell noticeably following the September FOMC meeting but increased, on net, over the intermeeting period.",neutral,neutral,neutral
12828,2012-11-14,"By various estimates, underlying inflation trends remained subdued, and indicators of longer-term inflation expectations were generally viewed as stable.",neutral,neutral,positive
12829,2013-04-10,"The staff saw the uncertainty around its projection for inflation as about average, and it viewed the risks to the inflation outlook as roughly balanced.",neutral,neutral,neutral
12830,2013-05-22,"After faster gains in January and February, private nonfarm employment increased at a subdued rate in March, and government employment declined slightly.",neutral,neutral,neutral
12831,2013-05-22,"In the April SLOOS, relatively large net fractions of these banks reported having eased standards and reduced spreads on C&I loans to firms of all sizes.",positive,neutral,neutral
12832,2013-05-22,"However, the CRE sector showed some signs of recovery, and survey results indicated that the terms of CRE lending were easing and loan demand increasing.",positive,neutral,neutral
12833,2013-07-10,Participants noted that consumer spending continued to increase at a moderate rate in recent months despite tax increases and only modest gains in wages.,positive,neutral,neutral
12834,2013-11-20,Drawings on the dollar and foreign currency liquidity swap lines will be approved by the Chairman in consultation with the Foreign Currency Subcommittee.,neutral,neutral,neutral
12835,2013-11-20,"In the agricultural sector, crop yields were healthy, farmland values were up, and lower crop prices were increasing the affordability of livestock feed.",positive,neutral,neutral
12836,2013-11-20,"Uncertainty about future fiscal policy and the regulatory environment, including changes in health care, were mentioned as weighing on business planning.",negative,neutral,neutral
12837,2014-01-08,"Measures of firms' hiring plans remained higher than a year earlier, and household expectations of the labor market situation improved in early December.",neutral,positive,neutral
12838,2014-04-09,Another participant favored introducing new quantitative thresholds of 5-1/2 percent for the unemployment rate and 2-1/4 percent for projected inflation.,neutral,neutral,neutral
12839,2014-07-09,"However, the medium-term projection for inflation was revised down slightly, reflecting a reassessment by the staff of the underlying trend in inflation.",neutral,neutral,positive
12840,2014-07-09,"Several others, however, remained concerned that persistent low inflation in Europe and Japan could eventually erode inflation expectations more broadly.",neutral,neutral,negative
12841,2014-07-09,"Even so, several participants pointed out that both long- and short-term unemployment and measures that include marginally attached workers had declined.",neutral,positive,neutral
12842,2014-08-20,"The unemployment rate declined to 6.1 percent in June, the labor force participation rate was unchanged, and the employment-to-population ratio edged up.",neutral,positive,neutral
12843,2014-08-20,"Household spending appeared to be rising moderately, and business fixed investment was advancing, while the recovery in the housing sector remained slow.",positive,neutral,neutral
12844,2014-10-08,Several participants added that slower economic growth in China or Japan or unanticipated events in the Middle East or Ukraine might pose a similar risk.,negative,neutral,neutral
12845,2014-10-08,"Household spending appeared to be rising moderately, and business fixed investment was advancing, while the recovery in the housing sector remained slow.",positive,neutral,neutral
12846,2014-11-19,"It would also note that, if progress proves slower than expected, then increases in the target range would likely occur later than currently anticipated.",neutral,neutral,neutral
12847,2014-11-19,Market-based measures of inflation compensation have declined somewhat; survey-based measures of longer-term inflation expectations have remained stable.,neutral,neutral,positive
12848,2015-02-18,"The deputy manager also discussed the outcomes of recent tests of term and overnight reverse repurchase agreements (term RRPs and ON RRPs, respectively).",neutral,neutral,neutral
12849,2015-02-18,"In addition, valuation pressures appear to be building in the CRE sector, as indicated by rising prices and the easing in lending standards on CRE loans.",positive,neutral,neutral
12850,2015-07-08,"However, several participants pointed out that the 3-month change in that index had firmed recently, signaling some improvement in the inflation outlook.",neutral,neutral,positive
12851,2015-07-08,"Although they expressed some uncertainty about the extent of the likely near-term pickup, members expected moderate economic growth over the medium term.",positive,neutral,neutral
12852,2015-08-19,The deputy manager also updated the Committee on plans for tests of the Term Deposit Facility in August and of term RRPs at the end of the third quarter.,neutral,neutral,neutral
12853,2015-08-19,"However, a couple of participants noted that they did not expect this sector to be a major contributor to economic growth over the remainder of the year.",neutral,neutral,neutral
12855,2016-01-06,"Nominal shipments of nondefense capital goods excluding aircraft edged down in October, although new orders for these capital goods continued to move up.",neutral,neutral,neutral
12856,2016-01-06,"Recent indicators for economic activity in China were relatively favorable, and several other emerging Asian economies strengthened in the third quarter.",positive,neutral,neutral
12857,2016-02-17,A staff presentation at this meeting reviewed broad strategies for reintroducing an aggregate cap on ON RRP operations and managing the cap subsequently.,neutral,neutral,neutral
12858,2016-02-17,"Many viewed labor market underutilization as having been substantially reduced over the past year, and a few saw slack as having been largely eliminated.",neutral,positive,neutral
